epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,209.902,1.28256,1.21239,1.46748,0.66967,0.81868,0.7745,0.43943,1.55252,1.04712,1.67625,0.0005941,0.0005941,0.0005941
43,235.177,1.28703,1.22065,1.4645,0.67002,0.79656,0.75854,0.45274,1.40426,1.11191,1.54321,0.0005842,0.0005842,0.0005842
44,260.237,1.30609,1.23692,1.4837,0.6175,0.8121,0.74921,0.46166,1.38588,1.09521,1.47364,0.0005743,0.0005743,0.0005743
45,285.333,1.2755,1.19217,1.45595,0.58881,0.75257,0.73735,0.44371,1.41189,1.24838,1.54651,0.0005644,0.0005644,0.0005644
46,310.395,1.28603,1.20104,1.46703,0.58837,0.74495,0.72838,0.45408,1.40378,1.16111,1.51556,0.0005545,0.0005545,0.0005545
47,335.48,1.26552,1.17004,1.45338,0.76484,0.75107,0.8313,0.49217,1.4038,1.03966,1.50109,0.0005446,0.0005446,0.0005446
48,360.586,1.26232,1.17165,1.45123,0.62116,0.79129,0.78117,0.45584,1.47965,1.0041,1.60069,0.0005347,0.0005347,0.0005347
49,385.746,1.26944,1.19474,1.45543,0.70147,0.79425,0.75908,0.44432,1.45991,1.1769,1.56526,0.0005248,0.0005248,0.0005248
50,410.914,1.25338,1.16382,1.44683,0.70884,0.77313,0.7904,0.44886,1.48356,1.05252,1.56911,0.0005149,0.0005149,0.0005149
51,1119.69,1.25617,1.15684,1.45161,0.59885,0.77585,0.73041,0.43651,1.41436,1.09051,1.53128,0.000505,0.000505,0.000505
52,1143.68,1.24431,1.12729,1.43254,0.75541,0.82364,0.80362,0.47937,1.44088,1.0321,1.53025,0.0004951,0.0004951,0.0004951
53,1167.52,1.24745,1.15017,1.43749,0.61929,0.76917,0.76948,0.43891,1.49259,1.15497,1.585,0.0004852,0.0004852,0.0004852
54,1191.58,1.25667,1.15978,1.44174,0.69378,0.73759,0.75048,0.44463,1.52119,1.13,1.65389,0.0004753,0.0004753,0.0004753
55,1215.33,1.23878,1.15463,1.43483,0.56513,0.76549,0.70914,0.42064,1.42192,1.15389,1.54682,0.0004654,0.0004654,0.0004654
56,1239.17,1.22401,1.10843,1.41494,0.6866,0.78024,0.79806,0.4764,1.413,1.0489,1.50125,0.0004555,0.0004555,0.0004555
57,1263.16,1.22366,1.08658,1.40816,0.61276,0.77471,0.76546,0.45771,1.46963,1.05826,1.57998,0.0004456,0.0004456,0.0004456
58,1287.12,1.2162,1.10848,1.41153,0.57731,0.75186,0.77189,0.46903,1.41763,1.0481,1.58788,0.0004357,0.0004357,0.0004357
59,1315.17,1.22515,1.11401,1.42554,0.57647,0.7702,0.72811,0.43596,1.46157,1.12774,1.66939,0.0004258,0.0004258,0.0004258
60,1345.96,1.21206,1.08091,1.40475,0.66028,0.76686,0.7561,0.4622,1.4633,1.00137,1.71125,0.0004159,0.0004159,0.0004159
61,1376.82,1.22054,1.09544,1.41489,0.64765,0.75148,0.76898,0.45214,1.47392,1.01547,1.63023,0.000406,0.000406,0.000406
62,1407.68,1.20599,1.07469,1.40445,0.69344,0.81781,0.75623,0.45086,1.43706,1.06721,1.61592,0.0003961,0.0003961,0.0003961
63,1438.52,1.20191,1.07021,1.39934,0.62415,0.76573,0.74581,0.45978,1.39787,1.0626,1.56608,0.0003862,0.0003862,0.0003862
64,1469.1,1.18837,1.07666,1.40011,0.57771,0.80628,0.77779,0.45109,1.42763,1.04589,1.62566,0.0003763,0.0003763,0.0003763
65,1499.9,1.17395,1.04006,1.38895,0.6633,0.75305,0.76324,0.42111,1.50813,1.17599,1.64874,0.0003664,0.0003664,0.0003664
66,1530.88,1.19144,1.04931,1.40326,0.65074,0.78126,0.76997,0.47446,1.44622,0.99112,1.62038,0.0003565,0.0003565,0.0003565
67,1562.74,1.17358,1.04007,1.39123,0.72046,0.82888,0.79401,0.48848,1.53111,0.96979,1.67658,0.0003466,0.0003466,0.0003466
68,1593.28,1.1797,1.03825,1.39961,0.74138,0.7321,0.76104,0.48251,1.47197,1.03978,1.63628,0.0003367,0.0003367,0.0003367
69,1624.18,1.16584,1.02915,1.38426,0.70635,0.82712,0.80174,0.48827,1.45252,0.9415,1.61009,0.0003268,0.0003268,0.0003268
70,1655.25,1.17034,1.01824,1.38238,0.65163,0.8086,0.78584,0.46375,1.47232,0.99751,1.65708,0.0003169,0.0003169,0.0003169
71,1685.84,1.17933,1.03708,1.38707,0.76006,0.83562,0.79886,0.4811,1.52425,0.93906,1.66831,0.000307,0.000307,0.000307
72,1716.33,1.1899,1.03458,1.39259,0.68332,0.80041,0.79963,0.48949,1.48977,0.91352,1.65737,0.0002971,0.0002971,0.0002971
73,1746.82,1.19166,1.06008,1.39527,0.73512,0.79194,0.79247,0.47049,1.42068,0.91691,1.61262,0.0002872,0.0002872,0.0002872
74,1777.45,1.17002,1.03279,1.39236,0.71296,0.71546,0.74629,0.42127,1.53314,1.01518,1.71599,0.0002773,0.0002773,0.0002773
75,26.9126,1.13485,0.98398,1.35768,0.63932,0.80286,0.75789,0.4402,1.42038,1.03486,1.60598,0.0002674,0.0002674,0.0002674
76,53.4728,1.14512,0.98145,1.35309,0.87459,0.73359,0.81826,0.46778,1.49338,1.0185,1.64296,0.0002575,0.0002575,0.0002575
77,80.4117,1.14054,0.96999,1.36153,0.57442,0.87758,0.77924,0.47866,1.42384,0.9468,1.58684,0.0002476,0.0002476,0.0002476
78,105.825,1.12581,0.96633,1.35176,0.86084,0.6847,0.79617,0.46591,1.45921,0.99083,1.60345,0.0002377,0.0002377,0.0002377
79,131.618,1.11438,0.95692,1.34559,0.79117,0.73009,0.80369,0.48519,1.44073,0.92927,1.57401,0.0002278,0.0002278,0.0002278
80,156.559,1.12344,0.96239,1.34958,0.68033,0.80472,0.85917,0.48128,1.48911,0.96938,1.62441,0.0002179,0.0002179,0.0002179
81,181.647,1.09684,0.94283,1.33803,0.59367,0.82147,0.77013,0.46412,1.46185,0.94984,1.62958,0.000208,0.000208,0.000208
82,207.676,1.08244,0.91327,1.32602,0.5928,0.7371,0.75836,0.47286,1.36666,1.0393,1.54928,0.0001981,0.0001981,0.0001981
83,233.981,1.09613,0.91963,1.33656,0.66725,0.7644,0.79133,0.45599,1.48975,1.09055,1.6225,0.0001882,0.0001882,0.0001882
84,260.056,1.07221,0.90391,1.32209,0.69173,0.80032,0.77233,0.47352,1.47746,0.96218,1.66736,0.0001783,0.0001783,0.0001783
85,286.255,1.07009,0.91619,1.32363,0.71729,0.72487,0.79954,0.48111,1.46553,1.01016,1.65904,0.0001684,0.0001684,0.0001684
86,312.485,1.06432,0.891,1.31682,0.74029,0.82841,0.82458,0.47873,1.48373,0.98084,1.6618,0.0001585,0.0001585,0.0001585
87,338.678,1.05785,0.88733,1.31513,0.70821,0.83246,0.81471,0.47032,1.42587,0.96795,1.59522,0.0001486,0.0001486,0.0001486
88,365.034,1.0582,0.90663,1.31449,0.61988,0.82816,0.77573,0.46181,1.46463,1.02965,1.62956,0.0001387,0.0001387,0.0001387
89,391.32,1.04801,0.88758,1.30958,0.79433,0.6626,0.77934,0.45699,1.48641,0.99964,1.64473,0.0001288,0.0001288,0.0001288
90,417.136,1.05507,0.8823,1.31206,0.60792,0.84861,0.80264,0.46426,1.46113,1.03039,1.6328,0.0001189,0.0001189,0.0001189
91,461.304,1.09984,0.86967,1.37552,0.69929,0.76163,0.79832,0.46479,1.46314,1.01858,1.65063,0.000109,0.000109,0.000109
92,486.12,1.06683,0.82164,1.3487,0.77751,0.79585,0.82749,0.48553,1.4426,0.94466,1.64034,9.91e-05,9.91e-05,9.91e-05
93,511.202,1.05494,0.8126,1.3548,0.7277,0.77006,0.782,0.45124,1.52927,1.03506,1.70585,8.92e-05,8.92e-05,8.92e-05
94,535.968,1.03199,0.78038,1.323,0.67486,0.85644,0.8006,0.45917,1.46543,1.02658,1.66012,7.93e-05,7.93e-05,7.93e-05
95,560.913,1.03724,0.78498,1.3347,0.66412,0.78176,0.77365,0.45371,1.48619,1.02087,1.68197,6.94e-05,6.94e-05,6.94e-05
96,585.833,1.02096,0.78127,1.32219,0.60802,0.83346,0.77777,0.46413,1.47944,1.03234,1.67394,5.95e-05,5.95e-05,5.95e-05
97,610.626,1.01425,0.77519,1.3149,0.62037,0.7964,0.77443,0.43893,1.49359,1.0551,1.69918,4.96e-05,4.96e-05,4.96e-05
98,635.437,1.00928,0.75506,1.30902,0.56225,0.87926,0.7609,0.44144,1.48812,1.02785,1.67496,3.97e-05,3.97e-05,3.97e-05
99,660.201,0.99149,0.73198,1.29825,0.65121,0.76884,0.76621,0.4468,1.48817,1.0169,1.68829,2.98e-05,2.98e-05,2.98e-05
100,685.068,0.99324,0.7422,1.3068,0.62929,0.74133,0.75898,0.43972,1.51166,1.02222,1.7231,1.99e-05,1.99e-05,1.99e-05
