epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2070.31,1.16904,1.01402,1.37804,0.69245,0.73232,0.76486,0.44002,1.42883,1.06493,1.64196,0.0002377,0.0002377,0.0002377
79,2096.56,1.14141,0.98485,1.36889,0.74154,0.64875,0.73308,0.43014,1.4606,1.04136,1.67984,0.0002278,0.0002278,0.0002278
80,2122.74,1.13419,0.96188,1.35501,0.73708,0.74012,0.77807,0.443,1.54748,0.98861,1.7294,0.0002179,0.0002179,0.0002179
81,2149.25,1.14153,0.96442,1.36881,0.76557,0.7095,0.74975,0.4318,1.48218,1.01794,1.68301,0.000208,0.000208,0.000208
82,2175.55,1.12231,0.96391,1.35808,0.69953,0.81492,0.76315,0.43529,1.50621,1.02567,1.6886,0.0001981,0.0001981,0.0001981
83,2203.26,1.12337,0.96942,1.35822,0.68901,0.7335,0.76965,0.45425,1.51316,1.00405,1.72711,0.0001882,0.0001882,0.0001882
84,2231.08,1.11781,0.95231,1.3484,0.63343,0.7711,0.74435,0.4339,1.50749,1.06009,1.72444,0.0001783,0.0001783,0.0001783
85,2258.55,1.11637,0.93529,1.34487,0.64132,0.73761,0.72814,0.42858,1.47162,1.02354,1.63351,0.0001684,0.0001684,0.0001684
86,2286.23,1.08725,0.90499,1.32599,0.76615,0.65473,0.76329,0.45346,1.46147,1.04528,1.67511,0.0001585,0.0001585,0.0001585
86,24.3824,1.09906,0.93087,1.32873,0.76845,0.71959,0.78153,0.43489,1.50616,1.00928,1.71365,0.0001585,0.0001585,0.0001585
87,48.8793,1.11784,0.93315,1.33201,0.60262,0.8524,0.73843,0.43193,1.4458,1.0088,1.68781,0.0001486,0.0001486,0.0001486
88,73.051,1.11522,0.9355,1.3445,0.58392,0.8248,0.70915,0.41393,1.52695,1.07316,1.74618,0.0001387,0.0001387,0.0001387
89,97.3446,1.08959,0.90863,1.33091,0.6604,0.75119,0.75895,0.42656,1.47193,1.05445,1.69799,0.0001288,0.0001288,0.0001288
90,121.422,1.08452,0.90584,1.32424,0.60805,0.79271,0.75937,0.43078,1.55041,1.06389,1.72219,0.0001189,0.0001189,0.0001189
91,160.821,1.07644,0.85998,1.35886,0.71325,0.75566,0.77322,0.42138,1.57405,0.96082,1.76735,0.000109,0.000109,0.000109
92,184.49,1.0588,0.8094,1.3452,0.77218,0.76098,0.77499,0.4295,1.55554,0.97511,1.77714,9.91e-05,9.91e-05,9.91e-05
93,208.514,1.04235,0.77731,1.32254,0.61083,0.70815,0.74037,0.42057,1.60025,0.97101,1.84504,8.92e-05,8.92e-05,8.92e-05
94,233.096,1.03514,0.77359,1.32963,0.75305,0.75197,0.80474,0.43754,1.5531,0.97299,1.7917,7.93e-05,7.93e-05,7.93e-05
95,257.146,1.0228,0.75942,1.31685,0.68381,0.84686,0.77105,0.43476,1.56668,1.00746,1.79256,6.94e-05,6.94e-05,6.94e-05
96,281.133,1.00661,0.75696,1.30192,0.67988,0.79694,0.76605,0.43545,1.52507,1.04228,1.73029,5.95e-05,5.95e-05,5.95e-05
97,305.117,1.00866,0.7448,1.30625,0.68232,0.69577,0.74004,0.43651,1.51958,1.05116,1.73938,4.96e-05,4.96e-05,4.96e-05
98,329.167,0.99999,0.74061,1.31751,0.70718,0.71851,0.75697,0.43711,1.52128,1.02621,1.75618,3.97e-05,3.97e-05,3.97e-05
99,353.205,0.99408,0.74931,1.31616,0.67953,0.75978,0.75636,0.43858,1.54324,1.01719,1.78102,2.98e-05,2.98e-05,2.98e-05
100,377.445,0.98549,0.72426,1.3015,0.69839,0.72562,0.75098,0.43162,1.5732,1.04164,1.79991,1.99e-05,1.99e-05,1.99e-05
